date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:18	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63beabb4-b397d7c4789e494c;gz%22	https://lightsteelblue-jackal-341587.hostingersite.com/robots.txt		(from )
14:38:19	71852/71852	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2017:38:35%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/index.html	(from )
14:38:19	78150/78150	---M-Z	200	added ('OK')	application/x-javascript	etag:%2213146-672e041b-635ade24458fa7f9;gz%22	https://lightsteelblue-jackal-341587.hostingersite.com/js/script.js	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/js/script.js	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:19	19072/19072	---M-Z	200	added ('OK')	text/css	etag:%224a80-672e041c-98fef335c9676ae3;gz%22	https://lightsteelblue-jackal-341587.hostingersite.com/css/styles.css	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/css/styles.css	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:19	90257/90257	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216091-672e041a-5b3ae6357ca8bd94;gz%22	https://lightsteelblue-jackal-341587.hostingersite.com/js/jquery-3.6.4.min.js	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/js/jquery-3.6.4.min.js	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:19	1681/1681	---M-Z	200	added ('OK')	application/x-javascript	etag:%22691-672e041a-1386f9abc8cfc140;gz%22	https://lightsteelblue-jackal-341587.hostingersite.com/js/js.cookie.min.js	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/js/js.cookie.min.js	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:20	10284/10284	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Nov%202024%2017:38:36%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/icon-spofity.png	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/icon-spofity.png	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:20	170373/170373	---M--	200	added ('OK')	audio/mpeg	etag:%2229985-672e041a-cdfd93d1e8d353e5;;;%22	https://lightsteelblue-jackal-341587.hostingersite.com/media/dinheiro.mp3	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/media/dinheiro.mp3	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:20	42948/42948	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Nov%202024%2017:38:37%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/opinilogo.png	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/opinilogo.png	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:20	218803/218803	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2017:38:37%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/matue.png	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/matue.jpg	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:20	2395/2395	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2017:38:37%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/transparent.html	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/transparent.html	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:21	30290/30290	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2017:38:38%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/LuanSantana.JPG	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/LuanSantana.jpg	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:21	47139/47139	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2017:38:38%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/poze.JPG	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/poze.jpg	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:21	84080/84080	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2017:38:38%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/annita.jpg	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/annita.jpg	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:21	40484/40484	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2017:38:38%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/ludmillaa.JPG	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/ludmillaa.jpg	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:21	33729/33729	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2017:38:38%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/mcabelin.JPG	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/mcabelin.jpg	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:22	30506/30506	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2017:38:39%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/mcdaniel.JPG	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/mcdaniel.jpg	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:22	45068/45068	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2017:38:39%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/ivete.JPG	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/ivete.jpg	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:22	31091/31091	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2017:38:39%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/wesley.JPG	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/wesley.jpg	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:22	205454/205454	---M--	200	added ('OK')	image/jpeg	date:Fri,%2008%20Nov%202024%2017:38:39%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/alok.jpg	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/alok.jpg	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:23	71608/71608	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Nov%202024%2017:38:40%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/cpf.png	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/cpf.png	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:23	49514/49514	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Nov%202024%2017:38:40%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/telefone.png	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/telefone.png	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:23	44468/44468	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Nov%202024%2017:38:40%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/email.png	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/email.png	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:23	67320/67320	---M--	200	added ('OK')	image/png	date:Fri,%2008%20Nov%202024%2017:38:40%20GMT	https://lightsteelblue-jackal-341587.hostingersite.com/images/qr.png	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/images/qr.png	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
14:38:24	380220/380220	---M-Z	200	added ('OK')	application/x-javascript	etag:%225cd3c-672e041b-bb5adb7cb42b490f;gz%22	https://lightsteelblue-jackal-341587.hostingersite.com/js/lottie-player.js	C:/Os%20meus%20Sites/spotfy/lightsteelblue-jackal-341587.hostingersite.com/js/lottie-player.js	(from https://lightsteelblue-jackal-341587.hostingersite.com/)
